pincode,age_0_5,age_5_17,age_18_greater,new_date,state_clean,district_clean,month
736135,19,12,19,2025-03-09,West Bengal,,3
733129,26,18,27,2025-03-09,West Bengal,,3
734010,81,49,17,2025-04-01,West Bengal,Darjeeling,4
736135,243,127,20,2025-04-01,West Bengal,Cooch Behar,4
700159,35,28,14,2025-04-01,West Bengal,,4
733134,484,109,27,2025-04-01,West Bengal,Uttar Dinajpur,4
721517,40,10,12,2025-04-01,West Bengal,Jhargram,4
734014,82,34,16,2025-04-01,West Bengal,Darjeeling,4
741502,204,33,11,2025-04-01,West Bengal,Nadia,4
735132,72,17,10,2025-04-01,West Bengal,Jalpaiguri,4
735204,18,36,16,2025-04-01,West Bengal,Alipurduar,4
733129,333,106,59,2025-04-01,West Bengal,Uttar Dinajpur,4
732124,306,80,10,2025-04-01,West Bengal,Malda,4
733123,158,29,10,2025-04-01,West Bengal,Uttar Dinajpur,4
734013,49,18,13,2025-04-01,West Bengal,Darjeeling,4
733156,289,89,20,2025-04-01,West Bengal,Uttar Dinajpur,4
734003,109,65,13,2025-04-01,West Bengal,Darjeeling,4
736182,20,27,11,2025-04-01,West Bengal,Alipurduar,4
700004,21,10,23,2025-04-01,West Bengal,Kolkata,4
734429,62,34,16,2025-04-01,West Bengal,Darjeeling,4
735135,122,45,26,2025-04-01,West Bengal,Jalpaiguri,4
736145,54,29,12,2025-04-01,West Bengal,Cooch Behar,4
700136,49,16,13,2025-04-01,West Bengal,,4
700102,42,23,12,2025-04-01,West Bengal,,4
700014,90,78,10,2025-05-01,West Bengal,Kolkata,5
734105,10,17,22,2025-05-01,West Bengal,Darjeeling,5
733121,179,42,14,2025-05-01,West Bengal,Dakshin Dinajpur,5
735212,20,39,10,2025-05-01,West Bengal,Jalpaiguri,5
735135,143,57,21,2025-05-01,West Bengal,Jalpaiguri,5
734301,12,39,27,2025-05-01,West Bengal,Kalimpong,5
734429,83,52,17,2025-05-01,West Bengal,Darjeeling,5
734003,119,87,20,2025-05-01,West Bengal,Darjeeling,5
733207,656,680,29,2025-05-01,West Bengal,Uttar Dinajpur,5
735204,16,72,25,2025-05-01,West Bengal,Alipurduar,5
743423,251,75,11,2025-05-01,West Bengal,,5
736134,208,121,18,2025-05-01,West Bengal,Cooch Behar,5
700023,109,98,14,2025-05-01,West Bengal,Kolkata,5
736135,384,244,21,2025-05-01,West Bengal,Cooch Behar,5
741501,168,35,11,2025-05-01,West Bengal,Nadia,5
